timestamp,tower_id,active_users,resource_block_util,backhaul_throughput_gbps
1783446256,TOWER_A,224,0.1278,0.967
1783446257,TOWER_B,101,0.05,0.473
1783446258,TOWER_A,403,0.2186,0.845
1783446259,TOWER_B,119,0.0978,0.392
1783446260,TOWER_A,300,0.146,1.37
1783446261,TOWER_B,113,0.058,0.341
1783446262,TOWER_A,208,0.121,0.632
1783446263,TOWER_B,85,0.0565,0.292
1783446264,TOWER_A,474,0.246,2.0
1783446265,TOWER_B,69,0.05,0.274
1783446266,TOWER_A,235,0.1248,1.152
1783446267,TOWER_B,139,0.0833,0.302
1783446268,TOWER_A,319,0.1537,1.153
1783446269,TOWER_B,99,0.0804,0.302
1783446270,TOWER_A,295,0.169,0.945
1783446271,TOWER_B,61,0.0552,0.28
1783446272,TOWER_A,476,0.253,2.156
1783446273,TOWER_B,56,0.05,0.273
1783446274,TOWER_A,182,0.082,0.838
1783446275,TOWER_B,89,0.0635,0.19
1783446276,TOWER_A,152,0.0756,0.496
1783446277,TOWER_B,143,0.05,0.419
1783446278,TOWER_A,433,0.2442,1.032
1783446279,TOWER_B,135,0.0686,0.586
1783446280,TOWER_A,406,0.2196,1.269
1783446281,TOWER_B,91,0.05,0.356
1783446282,TOWER_A,275,0.1226,1.298
1783446283,TOWER_B,142,0.0679,0.304
1783446284,TOWER_A,262,0.127,0.622
1783446285,TOWER_B,135,0.0636,0.466
1783446286,TOWER_A,452,0.2678,1.021
1783446287,TOWER_B,137,0.0548,0.561
1783446288,TOWER_A,442,0.2274,1.786
1783446289,TOWER_B,116,0.0539,0.474
1783446290,TOWER_A,491,0.2535,1.613
1783446291,TOWER_B,99,0.0507,0.416
1783446292,TOWER_A,197,0.13,0.499
1783446293,TOWER_B,90,0.05,0.358
1783446294,TOWER_A,424,0.2407,1.597
1783446295,TOWER_B,73,0.05,0.147
1783446296,TOWER_A,344,0.1927,0.976
1783446297,TOWER_B,139,0.1067,0.605
1783446298,TOWER_A,488,0.2731,2.217
1783446299,TOWER_B,118,0.0681,0.383
1783446300,TOWER_A,374,0.2135,0.869
1783446301,TOWER_B,62,0.0658,0.303
1783446302,TOWER_A,362,0.2282,0.757
1783446303,TOWER_B,135,0.0546,0.507
1783446304,TOWER_A,470,0.2852,2.02
1783446305,TOWER_B,83,0.0736,0.291
1783446306,TOWER_A,431,0.2052,1.33
1783446307,TOWER_B,52,0.05,0.185
1783446308,TOWER_A,287,0.17,0.792
1783446309,TOWER_B,145,0.05,0.302
1783446310,TOWER_A,482,0.2542,2.23
1783446311,TOWER_B,137,0.0618,0.44
1783446312,TOWER_A,219,0.1088,1.018
1783446313,TOWER_B,122,0.0887,0.351
1783446314,TOWER_A,448,0.2478,1.158
1783446315,TOWER_B,52,0.05,0.259
1783446316,TOWER_A,219,0.1235,0.957
1783446317,TOWER_B,135,0.1244,0.586
1783446318,TOWER_A,357,0.2183,1.277
1783446319,TOWER_B,73,0.05,0.194
1783446320,TOWER_A,349,0.1886,0.762
1783446321,TOWER_B,123,0.0544,0.324
1783446322,TOWER_A,208,0.0961,0.98
1783446323,TOWER_B,84,0.05,0.409
1783446324,TOWER_A,408,0.2463,1.431
1783446325,TOWER_B,69,0.05,0.266
1783446326,TOWER_A,490,0.2851,2.325
1783446327,TOWER_B,93,0.05,0.237
